Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4914712.38,286634.16,805423.50,3367,0,3355,0,4843,0,510,0,30,0.7018959345325324,4908
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,13867177.41,276035.94,92400.00,3566,0,1236,0,5642,0,1027,0,57,0.9406896999599808,9324
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,345432.60,12873.78,6660.00,268,0,199,0,418,0,82,0,7,0.805171561300781,684
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3522008.89,1685319.02,1946664.00,2397,0,1585,0,3409,0,634,0,15,0.9088500912776847,5736
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,1435785.82,592093.76,1798053.00,645,0,415,0,891,0,379,0,35,0.38140585544068584,6684
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1584684.03,594033.89,1756979.00,1560,0,1825,0,1985,0,412,0,13,0.8798280409656558,3552
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,592611.45,462749.66,288417.80,498,0,396,0,708,0,177,0,22,0.8972224039077725,1752
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,559068.38,474925.79,559695.66,488,0,297,0,743,0,238,0,28,0.9296538756845559,2400
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1210358.00,332668.75,650385.34,968,0,794,0,1110,0,259,0,27,0.8739502061420056,1908
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,22145358.19,0.00,0,7311,0,2692,0,12243,0,2627,67,0.9765649498550621,28644
